Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Resígaro,Critically endangered,5.0,Arawakan,Peru,"-2.7674,-71.7187"
Sorsorian,Critically endangered,5.0,Sino-Tibetan,Vanuatu,"-16.4709,167.6499"
Southern Selkup,Critically endangered,5.0,Uralic,Russian Federation,"58.6626,85.8581"
Tuzantec,Critically endangered,5.0,Sino-Tibetan,Mexico,"15.1455,-92.4232"
Umbrul,Critically endangered,5.0,Sino-Tibetan,Vanuatu,","
Vano,Critically endangered,5.0,Austronesian,Solomon Islands,"-11.6286,166.8383"
Wunambal,Critically endangered,5.0,Worrorran,Australia,"-15.6124,125.0024"
Yuchi,Critically endangered,5.0,Language isolate,United States of America,"36.0009,-96.0988"
Bonerif,Critically endangered,4.0,Tor–Kwerba,Indonesia,"-2.1088,139.2352"
Coeur d'Alene,Critically endangered,4.0,Salishan,United States of America,"43.3433,-116.8873"
Dharawal,Critically endangered,4.0,Pama–Nyungan,Australia,"-34.7235,150.5786"
Guranalum,Critically endangered,4.0,Sino-Tibetan,Papua New Guinea,"-4.3464,152.8417"
Lengilu,Critically endangered,4.0,Austronesian,Indonesia,"3.7327,115.8728"
Njerep,Critically endangered,4.0,Sino-Tibetan,Cameroon,"6.4572,11.2884"
Ouma,Critically endangered,4.0,Austronesian,Papua New Guinea,"-10.233,149.1"
Paakantyi,Critically endangered,4.0,Pama–Nyungan,Australia,"-31.5598,143.3935"
Saponi,Critically endangered,4.0,"unclassified(lexically Lakes Plain,grammatically East Bird's Head)",Indonesia,"-2.4025,136.5037"
Tanema,Critically endangered,4.0,Austronesian,Solomon Islands,"-11.6986,166.9111"
Tehuelche,Critically endangered,4.0,Chonan,Argentina,"-51.5087,-70.3125"
Totoró,Critically endangered,4.0,Barbacoan,Colombia,"2.504,-76.4016"
Waanyi,Critically endangered,4.0,Garrwan,Australia,"-17.7486,138.2739"
Worrorra,Critically endangered,4.0,Wororan,Australia,"-16.4887,124.6289"
Awakatek (Mexico),Critically endangered,3.0,Sino-Tibetan,Mexico,"19.3481,-90.7177"
Baldemu,Critically endangered,3.0,Afro-Asiatic,Cameroon,"10.5742,14.5623"
Bung,Critically endangered,3.0,Niger–Congo,Cameroon,"6.5718,11.8267"
Canichana,Extinct,3.0,Tequiraca–Canichana,Bolivia (Plurinational State of),"-14.5835,-64.9731"
Central Pomo,Critically endangered,3.0,Hokan?,United States of America,"38.9704,-123.6893"
Central Sierra Miwok,Critically endangered,3.0,Yok-Utian,United States of America,"37.962,-120.2384"
Chemehuevi,Critically endangered,3.0,Uto-Aztecan,United States of America,"34.0138,-114.2146"
Kiowa Apache,Critically endangered,3.0,Dené–Yeniseian,United States of America,"35.1018,-98.6033"
Konkow,Critically endangered,3.0,Maiduan,United States of America,"39.467,-121.5155"
Lake Miwok,Critically endangered,3.0,Yok-Utian,United States of America,"38.6426,-122.3849"
Mabiri,Critically endangered,3.0,Afro-Asiatic,Chad,"12.1682,18.7275"
Mescalero-Chiricahua Apache (Oklahoma),Critically endangered,3.0,Dené–Yeniseian,United States of America,"34.8986,-98.3589"
Northern Pomo,Critically endangered,3.0,Pomoan,United States of America,"39.4143,-123.3502"
Sabanê,Critically endangered,3.0,Nambikwaran,Brazil,"-12.5277,-59.6859"
Southern Pomo,Critically endangered,3.0,Pomoan,United States of America,"38.7048,-122.8971"
Southern Sierra Miwok,Critically endangered,3.0,Yok-Utian,United States of America,"37.6148,-119.789"
Tubatulabal,Critically endangered,3.0,Uto-Aztecan,United States of America,"35.6444,-118.5183"
Tuscarora (United States of America),Critically endangered,3.0,Iroquoian,United States of America,"43.0877,-79.0627"
Ura,Critically endangered,3.0,Sino-Tibetan,Vanuatu,"-18.654,169.074"
Andoa (Peru),Critically endangered,2.0,Zaparoan,Peru,"-2.6796,-76.2011"
Arikapu,Critically endangered,2.0,Macro-Gê ?,Brazil,"-12.0527,-64.7259"
Aurê-Aurá,Critically endangered,2.0,Tupian,Brazil,"-2.9649,-46.2084"
Baré (Brazil),Critically endangered,2.0,Arawakan,Brazil,"0.4394,-68.2031"
Cayuvava,Critically endangered,2.0,Language isolate,Bolivia (Plurinational State of),"-12.7903,-65.3247"
Gajerrong,Critically endangered,2.0,Jarrakan,Australia,"-15.222,128.6059"
Ganggalidda,Critically endangered,2.0,Macro-Pama–Nyungan,Australia,"-17.1001,138.3618"
Guarasu,Critically endangered,2.0,Sino-Tibetan,Brazil,"-13.4724,-61.0427"
Klallam,Critically endangered,2.0,Salishan,United States of America,"47.8475,-122.585"
Kujubim,Critically endangered,2.0,Sino-Tibetan,Brazil,"-11.9963,-64.7534"
Kunjen,Critically endangered,2.0,Pama–Nyungan,Australia,"-16.1316,142.207"
Kuruáya,Critically endangered,2.0,Tupian,Brazil,"-5.0033,-53.9208"
Lemerig,Critically endangered,2.0,Austronesian,Vanuatu,"-13.7473,167.4096"
Luri,Critically endangered,2.0,Afro-Asiatic,Nigeria,"9.9255,9.5965"
Maidu,Critically endangered,2.0,Maiduan,United States of America,"40.4134,-120.6738"
Oneida (New York),Critically endangered,2.0,Iroquoian,United States of America,"43.0778,-75.6622"
Poyanawa,Critically endangered,2.0,Panoan,Brazil,"-7.6238,-73.2568"
Puruborá,Critically endangered,2.0,Tupian,Brazil,"-12.3292,-64.2919"
Salamãy,Critically endangered,2.0,Tupian,Brazil,"-8.7602,-63.9074"
Sambe,Critically endangered,2.0,Sino-Tibetan,Nigeria,"8.6027,8.3825"
Spokane,Critically endangered,2.0,Salishan,United States of America,"47.9286,-118.0165"
Tharkarri,Critically endangered,2.0,Pama–Nyungan,Australia,"-24.148,114.6533"
Vacacocha,Critically endangered,2.0,Tequiraca–Canichana,Peru,"-2.0869,-74.5092"
Wangaaybuwan,Critically endangered,2.0,Pama–Nyungan,Australia,"-31.1093,144.9975"
Xipáya,Critically endangered,2.0,Tupian,Brazil,"-4.3902,-53.9648"
Apiaká,Critically endangered,1.0,Tupian,Brazil,"-11.1519,-57.3113"
Bikya,Critically endangered,1.0,Niger–Congo,Cameroon,"6.8309,10.0277"
Bishuo,Critically endangered,1.0,Niger–Congo,Cameroon,"6.9032,10.0991"
Chaná,Critically endangered,1.0,Sino-Tibetan,Argentina,"-31.8402,-60.5786"
Dampel,Critically endangered,1.0,Sino-Tibetan,Indonesia,"0.7923,120.2494"
Diahói,Critically endangered,1.0,Tupian,Brazil,"-7.9939,-62.1936"
Kaixána,Critically endangered,1.0,Sino-Tibetan,Brazil,"-2.0649,-67.4121"
Lae,Extinct,1.0,Sino-Tibetan,Papua New Guinea,"-6.6318,147.181"
Laua,Critically endangered,1.0,Trans–New Guinea,Papua New Guinea,"-10.1824,149.2053"
Patwin,Critically endangered,1.0,Wintuan,United States of America,"38.7608,-122.0354"
Pazeh,Critically endangered,1.0,Austronesian,China,"24.2469,120.7727"
Pémono,Critically endangered,1.0,Carib,Venezuela (Bolivarian Republic of),"5.6487,-65.8081"
Taushiro,Critically endangered,1.0,unclassified(Saparo–Yawan?),Peru,"-3.2502,-75.8935"
Tinigua,Critically endangered,1.0,Tiniguan,Colombia,"2.3833,-73.6413"
Tolowa,Critically endangered,1.0,Dené–Yeniseian,United States of America,"41.9566,-124.1915"
Uru,Extinct,1.0,Uru–Chipaya,Bolivia (Plurinational State of),"-16.5519,-68.6645"
Volow,Critically endangered,1.0,Austronesian,Vanuatu,"-13.6433,167.7159"
Wintu-Nomlaki,Critically endangered,1.0,Wintuan,United States of America,"39.8637,-122.0822"
Yahgan,Critically endangered,1.0,Language isolate,Chile,"-55.0028,-67.4615"
Yarawi,Critically endangered,1.0,Trans–New Guinea,Papua New Guinea,"-7.9001,147.6411"
!Gan!ne,Extinct,0.0,Tuu,South Africa,"-31.3911,26.6748"
Aasax,Extinct,0.0,Afro-asiatic,United Republic of Tanzania,"-5.1948,37.738"
Ahom,Extinct,0.0,Kra–Dai,India,"26.5393,92.5378"
Ainu (Kuril),Extinct,0.0,Language isolate or one of the world's primary language families (Okhotsk?),Russian Federation,"46.8882,152.0068"
Ainu (Sakhalin),Extinct,0.0,Language isolate or one of the world's primary language families (Okhotsk?),Russian Federation,"47.3983,142.2949"
Akkala Saami,Extinct,0.0,Uralic,Russian Federation,"67.5809,31.668"
Alderney French,Extinct,0.0,Sino-Tibetan,United Kingdom of Great Britain and Northern Ireland,"49.7098,-2.2075"
Amanayé,Extinct,0.0,Tupian,Brazil,"-3.7327,-49.1088"
Andoa (Ecuador),Extinct,0.0,Zaparoan,Ecuador,"-2.3341,-76.5016"
Andro,Extinct,0.0,Sino-Tibetan,India,"24.8415,94.0539"
Antoniano,Extinct,0.0,Hokan,United States of America,"35.9717,-121.1757"
Aore,Extinct,0.0,Austronesian,Vanuatu,"-15.5767,167.1638"
Apolista,Extinct,0.0,Sino-Tibetan,Bolivia (Plurinational State of),"-14.4027,-68.6206"
Arapaho (Oklahoma),Extinct,0.0,Algic,United States of America,"35.602,-97.9712"
Arapáso,Extinct,0.0,Tucanoan,Brazil,"0,-66"
Aribwatsa,Extinct,0.0,Austronesian,Papua New Guinea,"-6.6523,147.2291"
Arin,Extinct,0.0,Sino-Tibetan,Russian Federation,"56.2982,91.7468"
Arman,Extinct,0.0,Tungusic,Russian Federation,"59.6732,150.1391"
Arta,Extinct,0.0,Austronesian,Philippines,"16.4225,121.7042"
Atacameño,Extinct,0.0,language isolate,"Argentina, Bolivia (Plurinational State of), Chile","-22.7559,-68.247"
Atsugewi,Extinct,0.0,Hokan,United States of America,"40.8824,-122.6661"
Babuza,Extinct,0.0,Austronesian,China,"24.01,120.623"
Badala,Critically endangered,0.0,Sino-Tibetan,Australia,"-25.285,153.1054"
Baga Kalem,Extinct,0.0,Sino-Tibetan,Guinea,"10.4013,-14.3151"
Baga Mboteni,Critically endangered,0.0,Niger–Congo,Guinea,"10.7415,-14.5513"
Barbareño,Extinct,0.0,Chumashan,United States of America,"34.4227,-119.7039"
Barzani Jewish Neo-Aramaic (Iraq),Extinct,0.0,Afro-Asiatic,Iraq,"36.2619,43.9892"
Basay,Extinct,0.0,Austronesian,China,"25.1378,121.6543"
Baygo,Extinct,0.0,Nilo-Saharan,Sudan,"11.7436,24.6423"
Berakou,Extinct,0.0,Nilo-Saharan,Chad,"12.8492,15.032"
Berti,Extinct,0.0,Nilo-Saharan,Sudan,"14.6898,25.9524"
Bina,Extinct,0.0,Austronesian,Papua New Guinea,"-10.2365,149.6063"
Birgid,Extinct,0.0,Nilo-Saharan,Sudan,"14.8598,25.0103"
Boro,Extinct,0.0,Sino-Tibetan,"Ethiopia, Togo","8.6244,0.6262"
Cacaopera,Extinct,0.0,Misumalpan,Nicaragua,"13.4109,-87.8741"
Cape Khoekhoe,Extinct,0.0,Khoe,South Africa,"-34.4522,19.7314"
Cappadocian Greek (Turkey),Extinct,0.0,mixed Greek–Turkish,Turkey,"38.048,32.6953"
Catawba,Extinct,0.0,Siouan,United States of America,"34.9361,-81.0272"
Cayuga (Oklahoma),Extinct,0.0,Iroquoian,United States of America,"36.6302,-94.6441"
Cayuse,Extinct,0.0,Unclassified,United States of America,"44.9647,-118.5424"
Central Kalapuyan,Extinct,0.0,Kalapuyan,United States of America,"43.8,-123.06"
Chairel,Extinct,0.0,Sino-Tibetan,India,"24.976,94.2407"
Cholon,Extinct,0.0,Hibito–Cholon,Peru,"-8.8633,-76.1791"
Coptic,Extinct,0.0,Afro-Asiatic,Egypt,"26.8915,29.0959"
Cowlitz,Extinct,0.0,Salishan,United States of America,"46.132,-122.8642"
Culle,Extinct,0.0,Sino-Tibetan,Peru,"-8.1951,-78.294"
Cuman,Extinct,0.0,Sino-Tibetan,Hungary,"46.5815,19.6765"
Cupeño,Extinct,0.0,Uto-Aztecan,United States of America,"33.364,-117.0756"
Dalmatian,Extinct,0.0,Indo-European,Croatia,"45.0599,14.5719"
Deti,Extinct,0.0,Khoe,Botswana,"-20.9614,24.461"
Dharug,Critically endangered,0.0,Austronesian,Australia,"-34.0344,150.9301"
Dhurga,Critically endangered,0.0,Pama–Nyungan,Australia,"-35.4964,150.249"
Dicamay Agta,Extinct,0.0,Austronesian,Philippines,"16.6998,122.0167"
Dorasque,Extinct,0.0,Sino-Tibetan,Panama,","
Dororo,Extinct,0.0,Austronesian,Solomon Islands,"-8.2169,157.3901"
Duli,Extinct,0.0,Niger–Congo,Cameroon,"9.3813,13.5708"
Dungidjau,Extinct,0.0,Sino-Tibetan,Australia,"-26.5885,152.2705"
Dura,Extinct,0.0,Sino-Tibetan,Nepal,"28.2898,84.4519"
Eastern Abenaki,Extinct,0.0,Algic,United States of America,"44.9423,-68.7328"
Eastern Kamchadal,Extinct,0.0,Sino-Tibetan,Russian Federation,"56.511,161.0156"
Eastern Pomo,Extinct,0.0,Pomoan,United States of America,"39.0461,-122.9211"
Eel River Athabaskan,Extinct,0.0,Dené–Yeniseian,United States of America,"40.188,-123.6477"
Eliri,Severely endangered,0.0,Niger–Congo,Sudan,"4.5706,30.858"
Elmolo,Extinct,0.0,Afro-Asiatic,Kenya,"2.7212,36.7326"
Eotile,Extinct,0.0,Niger–Congo,Côte d'Ivoire,"5.2495,-3.3233"
Eyak,Extinct,0.0,Dené–Yeniseian,United States of America,"60.2165,-143.3935"
Gaagudju,Extinct,0.0,Arnhem,Australia,"-12.2755,132.6379"
Gafat,Extinct,0.0,Afro-Asiatic,Ethiopia,"10.6768,35.8264"
Garífuna (Nicaragua),Critically endangered,0.0,Arawakan,Nicaragua,"12.5666,-83.7166"
Ge'ez,Extinct,0.0,Afro-Asiatic,Ethiopia,"8.9936,38.7597"
Getmata,Extinct,0.0,Austronesian,Papua New Guinea,"-5.8346,149.0405"
Gey,Extinct,0.0,Niger–Congo,Cameroon,"9.384,13.5296"
Gothic,Extinct,0.0,Sino-Tibetan,Ukraine,"44.653,33.8598"
Guanche,Extinct,0.0,Sino-Tibetan,Spain,"27.9264,-15.6774"
Gule,Extinct,0.0,Nilo-Saharan,Sudan,"10.0986,34.1235"
Guliguli,Extinct,0.0,Austronesian,Solomon Islands,"-8.2114,157.4615"
Gününa Küne,Extinct,0.0,Chonan,Argentina,"-43.4848,-68.1591"
Gyasumdo,Definitely endangered,0.0,Sino-Tibetan,Nepal,"28.5969,84.2253"
Hanis,Extinct,0.0,Coosan,United States of America,"43.406,-124.2402"
Hoanya,Extinct,0.0,Austronesian,China,"23.5665,120.3826"
Homa,Extinct,0.0,Niger–Congo,Sudan,"5.5011,27.3779"
Horo,Extinct,0.0,Nilo-Saharan,Chad,"9.239,18.3444"
Hpun,Extinct,0.0,Sino-Tibetan,Myanmar,"24.65,97.0666"
Huitoto (Brazil),Extinct,0.0,Bora–Witoto,Brazil,"-2.3723,-66.0937"
Hukumina,Extinct,0.0,Austronesian,Indonesia,"-3.1514,126.2713"
Huron-Wyandot (United States of America),Extinct,0.0,Iroquoian,United States of America,"36.7923,-94.7229"
Ifo,Extinct,0.0,Austronesian,Vanuatu,"-18.6605,169.1434"
Ineseño,Extinct,0.0,Chumashan,United States of America,"34.5942,-120.1371"
Island Carib,Extinct,0.0,Arawakan,Dominica,"15.4325,-61.2817"
Island Chumash,Extinct,0.0,Chumashan,United States of America,"34.3821,-119.4574"
Jorá,Critically endangered,0.0,Tupian,Bolivia (Plurinational State of),"-14.0246,-63.3581"
Judeo-Berber (Morocco),Extinct,0.0,Afro-Asiatic,Morocco,"30.822,-6.8005"
Kamas,Extinct,0.0,Uralic,Russian Federation,"57.9964,92.8784"
Kamas Turk,Extinct,0.0,Turkic,Russian Federation,"58.109,92.7101"
Kaniet,Extinct,0.0,Austronesian,Papua New Guinea,"-0.898,145.5441"
Kansa,Extinct,0.0,Siouan,United States of America,"36.7657,-96.8652"
Karaim (Crimea),Extinct,0.0,Turkic,Ukraine,"45.058,33.9477"
Karami,Extinct,0.0,(unclassified),Papua New Guinea,"-7.1335,143.8659"
Karelian (Valday),Extinct,0.0,Uralic,Russian Federation,"58.0284,33.3215"
Katabaga,Extinct,0.0,Austronesian,Philippines,"13.4366,122.5569"
Kato,Extinct,0.0,Dené–Yeniseian,United States of America,"39.677,-123.4944"
Kayeli,Extinct,0.0,Austronesian,Indonesia,"-3.39,127.1008"
Kazukuru,Extinct,0.0,Austronesian,Solomon Islands,"-8.1598,157.4629"
Kede,Extinct,0.0,Sino-Tibetan,Angola,"-17.1617,16.1059"
Kemi Saami,Extinct,0.0,Sino-Tibetan,Finland,"67.0631,27.6635"
Kenaboi,Extinct,0.0,Sino-Tibetan,Malaysia,"3.1129,102.0322"
Kerek,Extinct,0.0,Chukotko-Kamchatkan,Russian Federation,"62.5996,176.9183"
Ketangalan,Extinct,0.0,Austronesian,China,"25.0433,121.4813"
Khaccaḍ Bhoṭe,Definitely endangered,0.0,Sino-Tibetan,Nepal,"28.1113,85.3674"
Kilit,Extinct,0.0,Sino-Tibetan,Azerbaijan,"38.9455,46.0989"
Kinare,Extinct,0.0,Sino-Tibetan,Kenya,"-0.725,37.2436"
Klamath-Modoc,Extinct,0.0,Penutian?,United States of America,"42.5767,-121.8637"
Konomihu,Extinct,0.0,Hokan,United States of America,"41.2583,-123.3216"
Kore,Extinct,0.0,Sino-Tibetan,Kenya,"-2.2845,40.9185"
Kott,Extinct,0.0,Sino-Tibetan,Russian Federation,"56.3013,94.5318"
Krenjê,Extinct,0.0,Macro-Gê,Brazil,"-2.5644,-46.6589"
Krevin,Extinct,0.0,Sino-Tibetan,Latvia,"56.35,24.2907"
Kulun,Extinct,0.0,Austronesian,China,"24.9823,121.3591"
Kurtjar,Extinct,0.0,Pama–Nyungan,Australia,"-18.0623,140.4052"
Kw'adza,Extinct,0.0,Afro-asiatic,United Republic of Tanzania,"-5.3753,35.8621"
Kwadi,Extinct,0.0,Khoe–Kwadi,Angola,"-15.2523,12.2277"
Kwisi,Extinct,0.0,Sino-Tibetan,Angola,"-16.7309,13.0572"
Kyakala,Extinct,0.0,Sino-Tibetan,China,"45.3819,128.7597"
Laghu,Extinct,0.0,Austronesian,Solomon Islands,"-7.6157,158.7359"
Langthang Tibetan,Definitely endangered,0.0,Sino-Tibetan,Nepal,"28.21,85.5697"
Lenca,Extinct,0.0,Lencan,"El Salvador, Honduras","13.6459,-87.0996"
Li-Ngbee,Extinct,0.0,Niger–Congo,Democratic Republic of the Congo,"2.4931,28.059"
Liliali,Extinct,0.0,Austronesian,Indonesia,"-3.39,127.1008"
Lipan,Extinct,0.0,Dené–Yeniseian,United States of America,"33.1513,-105.799"
Lishan Didan (Iran),Extinct,0.0,Afro-Asiatic,Iran (Islamic Republic of),"37.9615,44.6044"
Lishana Deni (Iraq),Extinct,0.0,Afro-Asiatic,Iraq,"36.9279,42.5115"
Lishanid Noshan (Iraq),Extinct,0.0,Afro-Asiatic,Iraq,"36.1777,44.165"
Loke Tibetan,Definitely endangered,0.0,Sino-Tibetan,Nepal,"28.82,83.7721"
Lorkoti,Extinct,0.0,Sino-Tibetan,Kenya,"-0.4943,37.359"
Lower Chehalis,Extinct,0.0,Salishan,United States of America,"46.3227,-123.9724"
Mahigi,Extinct,0.0,Sino-Tibetan,Papua New Guinea,"-7.6688,143.0227"
Máku,Extinct,0.0,Sino-Tibetan,Brazil,"4.0615,-61.831"
Malin,Extinct,0.0,Sino-Tibetan,Myanmar,"24.57,94.56"
Mapia,Extinct,0.0,Austronesian,Indonesia,"0.8321,134.3023"
Maragus,Extinct,0.0,Austronesian,Vanuatu,"-16.0405,167.2778"
Marrgu,Extinct,0.0,Marrku–Wurrugu?,Australia,"-11.3292,132.0227"
Matagalpa,Extinct,0.0,Misumalpan,Nicaragua,"12.9517,-85.4381"
Mator,Extinct,0.0,Sino-Tibetan,Russian Federation,"54.0593,95.4492"
Mattole,Extinct,0.0,Dené–Yeniseian,United States of America,"39.1375,-123.6931"
Miami-Illinois,Extinct,0.0,Algic,United States of America,"36.8866,-94.8775"
Migueleño,Extinct,0.0,Hokan,United States of America,"35.7587,-120.6951"
Miraña (Brazil),Critically endangered,0.0,Bora–Witoto,Brazil,"-2.021,-65.6982"
Mirití Tapuia,Critically endangered,0.0,Tucanoan,Brazil,"0.3076,-69.1699"
Mlahso (Syria),Extinct,0.0,Afro-Asiatic,Syrian Arab Republic,"37.0542,41.2363"
Mlahso (Turkey),Extinct,0.0,Afro-Asiatic,Turkey,"38.4595,40.6507"
Mo-peng,Extinct,0.0,Sino-Tibetan,Sierra Leone,"7.4714,-12.2607"
Mochica,Extinct,0.0,Sino-Tibetan,Peru,"-7.079,-79.6453"
Moksela,Extinct,0.0,Inclasificable (Central Maluku?),Indonesia,"-3.4654,127.1694"
Molala,Extinct,0.0,Plateau Penutian,United States of America,"44.8636,-122.4645"
Mozarabic,Extinct,0.0,Sino-Tibetan,Spain,"37.4574,-3.988"
Mulaha,Extinct,0.0,Trans–New Guinea,Papua New Guinea,"-9.7002,147.4351"
Múra,Extinct,0.0,Mura,Brazil,"-3.3598,-59.2382"
Nagumi,Extinct,0.0,Niger–Congo,Cameroon,"8.6814,13.1835"
Naka'ela,Extinct,0.0,Austronesian,Indonesia,"-2.847,128.5208"
Napore,Extinct,0.0,Sino-Tibetan,Uganda,"3.8478,33.9147"
Natchez,Extinct,0.0,language isolate(Gulf?),United States of America,"31.5544,-91.3875"
New River Shasta,Extinct,0.0,Hokan,United States of America,"45.2835,-121.7134"
Ngarla,Extinct,0.0,Pama–Nyungan,Australia,"-20.5916,119.0917"
Ngong,Extinct,0.0,Niger–Congo,Cameroon,"9.0044,13.5104"
Nila (Nila Island),Extinct,0.0,Austronesian,Indonesia,"-6.7331,129.5288"
Nisenan,Extinct,0.0,Maiduan,United States of America,"38.7654,-121.0064"
Nooksack,Extinct,0.0,Salish,United States of America,"49.0378,-122.4865"
Norn,Extinct,0.0,Sino-Tibetan,United Kingdom of Great Britain and Northern Ireland,"60.3051,-1.2744"
Northeastern Pomo,Extinct,0.0,Pomoan,United States of America,"39.3774,-122.5454"
Nukiní,Extinct,0.0,Panoan,Brazil,"-7.4931,-73.4765"
Nupbikha,Vulnerable,0.0,Sino-Tibetan,Bhutan,"27.3937,90.5003"
Nyang'i,Extinct,0.0,Nilo-Saharan,Uganda,"3.5024,33.3764"
Obispeño,Extinct,0.0,Chumashan,United States of America,"35.2692,-120.6707"
Odut,Extinct,0.0,Niger–Congo,Nigeria,"5.3077,8.2672"
Old Prussian,Extinct,0.0,Sino-Tibetan,Russian Federation,"54.8987,20.4895"
Old Sirenik,Extinct,0.0,Eskimo–Aleut,Russian Federation,"64.4194,-173.9657"
Omagua (Brazil),Critically endangered,0.0,Tupian,Brazil,"-3.5572,-64.5117"
Ona,Extinct,0.0,Chonan,Argentina,"-54.6229,-67.4121"
Ongkor Solon,Extinct,0.0,Tungusic,China,"46.7774,83.0456"
Opon-Carare,Extinct,0.0,Sino-Tibetan,Colombia,"6.206,-73.7402"
Orang Kanaq,Extinct,0.0,Austronesian,Malaysia,"1.8858,103.9814"
