Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Aimol,Definitely endangered,"2,640",Sino-Tibetan; Kukish,India ,"24.4971,93.6145",24.4971,93.6145
Ainbai,Definitely endangered,110,Border; Bewani,Papua New Guinea ,"-3.1, 141.2",-3.1, 141.2
Ainu (Japan),Critically endangered,2,Isolate,Japan ,"43.0,143.0",43.0,143.0
Aiome,Definitely endangered,620,Lower Sepik-Ramu; Ramu; Middle Ramu,Papua New Guinea ,"-5.13, 144.76",-5.13, 144.76
Aisi,Definitely endangered,~250,Trans-New Guinea; Madang,Papua New Guinea ,"-5.405093, 145.175755",-5.405093, 145.175755
Aiton,Vulnerable,">1,000",Tai-Kadai; Kam-Tai; Be-Tai; Tai; Southwest-Central Tai; Southwestern Tai,India ,"26.6523,94.2901",26.6523,94.2901
Aja,Definitely endangered,200,Kresh-Aja,Sudan ,"7.33333333333,25.6666666667",7.33333333333,25.6666666667
Ak,Severely endangered,<80,Sepik; Yellow River,Papua New Guinea ,"-3.6093,141.6604",-3.6093,141.6604
Aka,Definitely endangered,A few hundred,Eastern Jebel,Sudan ,"11.0112,34.2333",11.0112,34.2333
Akateko,Vulnerable,"5,572",Mayan; Q'anjob'alan-Chujean,Guatemala Mexico ,"15.8333333333,-91.8333333333",15.8333333333,-91.8333333333
Ake,Vulnerable,"<2,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"8.947480, 8.835342",8.947480, 8.835342
Akeu,Vulnerable,"~5,000",Sino-Tibetan; Lolo-Burmese,China Myanmar Thailand ,"21.5833,101.0166",21.5833,101.0166
Akhvakh,Vulnerable,"~5,000",Northeast Caucasian; Daghestanian; Andic,Russia ,"42.3333333333,46.3333333333",42.3333333333,46.3333333333
Akkala Saami,Critically endangered,1,Uralic; Saami,Russia ,"67.774470, 32.126267",67.774470, 32.126267
Akum,Definitely endangered,600,Niger-Congo; Atlantic-Congo; Benue-Congo; Jukunoid; Yukuben-Kuteb,Nigeria Cameroon ,"6.73,9.9316",6.73,9.9316
AkuntsÃº,Critically endangered,4,Tupian; Tuparian,Brazil ,"-10.9, -63.6",-10.9, -63.6
Al-Sayyid Bedouin Sign Language,Definitely endangered,>150,Sign Language; Near Eastern,Israel ,"30.377614, 34.886169",30.377614, 34.886169
Alabama,Definitely endangered,250-300,Muskogean,USA ,"30.7158,-94.7028",30.7158,-94.7028
Alabat Island Agta,Critically endangered,50,Austronesian; Malayo-Polynesian; Greater Central Philippine,Philippines ,"14.1209,122.0282",14.1209,122.0282
Alabugat Tatar,Vulnerable,~400,Turkic; Kipchak,Russia ,"43.59, 46.66",43.59, 46.66
Alagwa,Vulnerable,"<10,000",Afro-Asiatic; Cushitic; South Cushitic,Tanzania ,"-5.5,35.75",-5.5,35.75
Alamblak,Vulnerable,"1,200",Sepik; Sepik Hill; Eastern Sepik Hill,Papua New Guinea ,"-4.66, 143.32",-4.66, 143.32
Alawa,Critically endangered,17,Gunwinyguan; Maran,Australia ,"-15.53391918,134.2028228",-15.53391918,134.2028228
Albarradas Zapotec,Vulnerable,"5,500",Otomanguean; Zapotecan,Mexico ,"17.066921, -96.200710",17.066921, -96.200710
Alekano,Vulnerable,"25,000",Trans-New Guinea; Kainantu-Goroka,Papua New Guinea ,"-6.0,145.416666667",-6.0,145.416666667
Alfendio,Definitely endangered,633,Arafundi,Papua New Guinea ,"-4.75, 143.64",-4.75, 143.64
Algherese Catalan,Vulnerable,"20,000-30,000",Indo-European; Italic; Romance; Western Romance,Italy ,"40.564318,8.328667",40.564318,8.328667
Allar,Definitely endangered,350,Dravidian; South-Central Dravidian,India ,"11.108169,76.166224",11.108169,76.166224
Alngith,Critically endangered,3,Pama-Nyungan; Paman,Australia ,"-12.57310489,141.8691543",-12.57310489,141.8691543
Alto MaraÃ±Ã³n Quechua,Vulnerable,"83,400",Quechuan; Central Quechua; Ap-am-ah,Peru ,"-9.932, -76.242",-9.932, -76.242
